company_id,previous_year,previous_pattern,latest_year,latest_pattern
DRREDDY,2023,Excellent,2024,Average
EICHERMOT,2012,Good,2013,Excellent
EICHERMOT,2017,Good,2018,Excellent
EICHERMOT,2018,Excellent,2019,Weak
EICHERMOT,2019,Weak,2020,Average
EICHERMOT,2020,Average,2021,Excellent
EICHERMOT,2021,Excellent,2022,Average
GAIL,2015,Average,2016,Weak
GAIL,2016,Weak,2017,Average
GAIL,2021,Average,2022,Weak
GAIL,2023,Weak,2024,Average
GODREJCP,2013,Average,2014,Excellent
GODREJCP,2014,Excellent,2015,Good
GODREJCP,2016,Good,2017,Excellent
GODREJCP,2017,Excellent,2018,Good
GODREJCP,2018,Good,2019,Weak
GODREJCP,2019,Weak,2020,Good
GODREJCP,2021,Good,2022,Average
GODREJCP,2022,Average,2023,Excellent
GODREJCP,2023,Excellent,2024,Poor
HAL,2020,Weak,2021,Excellent
HAL,2023,Excellent,2024,Good
HAVELLS,2013,Good,2014,Excellent
HAVELLS,2015,Excellent,2016,Weak
HAVELLS,2016,Weak,2017,Excellent
HAVELLS,2018,Excellent,2019,Weak
HAVELLS,2019,Weak,2020,Good
HAVELLS,2020,Good,2021,Weak
HAVELLS,2021,Weak,2022,Excellent
HAVELLS,2022,Excellent,2023,Weak
HAVELLS,2023,Weak,2024,Excellent
HCLTECH,2013,Good,2014,Average
HCLTECH,2014,Average,2015,Weak
HCLTECH,2016,Weak,2017,Good
HCLTECH,2017,Good,2018,Average
HCLTECH,2019,Average,2020,Excellent
HEROMOTOCO,2014,Excellent,2015,Average
HEROMOTOCO,2015,Average,2016,Good
HEROMOTOCO,2018,Good,2019,Weak
HEROMOTOCO,2019,Weak,2020,Excellent
HEROMOTOCO,2021,Excellent,2022,Average
HEROMOTOCO,2023,Average,2024,Excellent
HINDALCO,2014,Weak,2015,Poor
HINDALCO,2016,Poor,2017,Weak
HINDALCO,2017,Weak,2018,Average
HINDALCO,2020,Average,2021,Weak
HINDALCO,2021,Weak,2022,Average
HINDUNILVR,2014,Average,2015,Weak
HINDUNILVR,2015,Weak,2016,Good
HINDUNILVR,2018,Good,2019,Average
HINDUNILVR,2019,Average,2020,Good
HINDUNILVR,2022,Good,2023,Average
HINDUNILVR,2023,Average,2024,Excellent
ICICIGI,2014,Good,2015,Weak
ICICIGI,2015,Weak,2016,Good
ICICIGI,2016,Good,2017,Excellent
ICICIGI,2021,Excellent,2022,Weak
ICICIGI,2022,Weak,2023,Excellent
INDIGO,2019,Excellent,2020,Poor
INDIGO,2023,Poor,2024,Excellent
INFY,2013,Weak,2014,Average
INFY,2014,Average,2015,Weak
INFY,2016,Weak,2017,Average
INFY,2019,Average,2020,Good
INFY,2022,Good,2023,Average
IOC,2013,Weak,2014,Average
IOC,2014,Average,2015,Weak
IOC,2015,Weak,2016,Good
IOC,2016,Good,2017,Excellent
IOC,2018,Excellent,2019,Weak
IOC,2019,Weak,2020,Poor
IOC,2020,Poor,2021,Excellent
IOC,2021,Excellent,2022,Good
IOC,2023,Good,2024,Excellent
IRCTC,2015,Weak,2016,Excellent
IRCTC,2017,Excellent,2018,Weak
IRCTC,2018,Weak,2019,Excellent
IRCTC,2019,Excellent,2020,Weak
IRCTC,2020,Weak,2021,Excellent
IRCTC,2021,Excellent,2022,Weak
IRCTC,2022,Weak,2023,Average
IRCTC,2023,Average,2024,Weak
ITC,2014,Average,2015,Good
ITC,2018,Good,2019,Average
ITC,2021,Average,2022,Good
ITC,2022,Good,2023,Average
JINDALSTEL,2013,Average,2014,Weak
JINDALSTEL,2014,Weak,2015,Poor
JINDALSTEL,2020,Poor,2021,Average
JSWENERGY,2017,Weak,2018,Poor
JSWENERGY,2018,Poor,2019,Weak
JSWSTEEL,2013,Weak,2014,Poor
JSWSTEEL,2014,Poor,2015,Average
JSWSTEEL,2015,Average,2016,Poor
JSWSTEEL,2016,Poor,2017,Average
LICI,2021,Excellent,2022,Weak
LICI,2022,Weak,2023,Excellent
LICI,2023,Excellent,2024,Weak
LODHA,2016,Weak,2017,Average
LODHA,2018,Average,2019,Weak
LODHA,2019,Weak,2020,Average
LODHA,2020,Average,2021,Weak
LODHA,2021,Weak,2022,Average
LT,2016,Weak,2017,Good
LT,2017,Good,2018,Weak
LT,2020,Weak,2021,Good
LTIM,2013,Good,2014,Weak
LTIM,2014,Weak,2015,Average
LTIM,2015,Average,2016,Good
LTIM,2016,Good,2017,Excellent
LTIM,2017,Excellent,2018,Weak
LTIM,2018,Weak,2019,Average
LTIM,2019,Average,2020,Good
LTIM,2020,Good,2021,Excellent
LTIM,2021,Excellent,2022,Average
LTIM,2022,Average,2023,Weak
LTIM,2023,Weak,2024,Excellent
M&M,2019,Weak,2020,Poor
M&M,2020,Poor,2021,Weak
M&M,2021,Weak,2022,Excellent
M&M,2022,Excellent,2023,Weak
MARUTI,2014,Average,2015,Excellent
MARUTI,2018,Excellent,2019,Average
MARUTI,2019,Average,2020,Weak
MARUTI,2020,Weak,2021,Excellent
MARUTI,2021,Excellent,2022,Weak
MARUTI,2022,Weak,2023,Excellent
NESTLEIND,2018,Excellent,2019,Good
ONGC,2014,Good,2015,Average
ONGC,2015,Average,2016,Weak
ONGC,2016,Weak,2017,Good
ONGC,2019,Good,2020,Weak
ONGC,2020,Weak,2021,Average
ONGC,2021,Average,2022,Good
PIDILITIND,2013,Good,2014,Average
PIDILITIND,2014,Average,2015,Good
PIDILITIND,2016,Good,2017,Average
PIDILITIND,2019,Average,2020,Good
PIDILITIND,2020,Good,2021,Excellent
PIDILITIND,2021,Excellent,2022,Weak
PIDILITIND,2022,Weak,2023,Excellent
RECLTD,2016,Weak,2017,Average
RECLTD,2017,Average,2018,Weak
SBILIFE,2013,Average,2014,Weak
SBILIFE,2014,Weak,2015,Average
SIEMENS,2014,Good,2015,Weak
SIEMENS,2018,Weak,2019,Good
SIEMENS,2019,Good,2020,Average
SIEMENS,2020,Average,2021,Excellent
SIEMENS,2021,Excellent,2022,Weak
SUNPHARMA,2013,Average,2014,Good
SUNPHARMA,2016,Good,2017,Average
SUNPHARMA,2017,Average,2018,Good
SUNPHARMA,2018,Good,2019,Weak
SUNPHARMA,2019,Weak,2020,Good
SUNPHARMA,2022,Good,2023,Weak
SUNPHARMA,2023,Weak,2024,Good
TATACONSUM,2013,Weak,2014,Average
TATACONSUM,2014,Average,2015,Weak
TATACONSUM,2015,Weak,2016,Poor
TATACONSUM,2016,Poor,2017,Weak
TATACONSUM,2020,Weak,2021,Average
TATAMOTORS,2018,Excellent,2019,Poor
TATAMOTORS,2022,Poor,2023,Weak
TATAMOTORS,2023,Weak,2024,Excellent
TATAPOWER,2015,Poor,2016,Weak
TATAPOWER,2017,Weak,2018,Average
TATASTEEL,2013,Poor,2014,Weak
TATASTEEL,2014,Weak,2015,Poor
TATASTEEL,2017,Poor,2018,Weak
TATASTEEL,2019,Weak,2020,Poor
TATASTEEL,2020,Poor,2021,Weak
TATASTEEL,2023,Weak,2024,Poor
TCS,2013,Average,2014,Weak
TCS,2014,Weak,2015,Average
TCS,2015,Average,2016,Weak
TCS,2016,Weak,2017,Average
TCS,2020,Average,2021,Good
TCS,2022,Good,2023,Average
TECHM,2014,Weak,2015,Average
TITAN,2015,Weak,2016,Average
TITAN,2016,Average,2017,Excellent
TITAN,2017,Excellent,2018,Weak
TITAN,2018,Weak,2019,Average
TITAN,2019,Average,2020,Weak
TITAN,2020,Weak,2021,Excellent
TITAN,2021,Excellent,2022,Weak
TORNTPHARM,2013,Weak,2014,Average
TORNTPHARM,2014,Average,2015,Good
TORNTPHARM,2015,Good,2016,Excellent
TORNTPHARM,2016,Excellent,2017,Good
TORNTPHARM,2017,Good,2018,Excellent
TRENT,2014,Poor,2015,Weak
TRENT,2015,Weak,2016,Poor
TRENT,2016,Poor,2017,Weak
TRENT,2020,Weak,2021,Poor
TRENT,2022,Poor,2023,Excellent
TRENT,2023,Excellent,2024,Average
