company_id,year,capital_allocation
COALINDIA,2016,Average
COALINDIA,2017,Good
COALINDIA,2018,Average
COALINDIA,2019,Average
COALINDIA,2020,Weak
COALINDIA,2021,Average
COALINDIA,2022,Excellent
COALINDIA,2023,Good
COALINDIA,2024,Weak
DABUR,2013,Good
DABUR,2014,Good
DABUR,2015,Average
DABUR,2016,Average
DABUR,2017,Average
DABUR,2018,Average
DABUR,2019,Good
DABUR,2020,Good
DABUR,2021,Excellent
DABUR,2022,Good
DABUR,2023,Average
DABUR,2024,Good
DIVISLAB,2013,Weak
DIVISLAB,2014,Weak
DIVISLAB,2015,Average
DIVISLAB,2016,Average
DIVISLAB,2017,Good
DIVISLAB,2018,Average
DIVISLAB,2019,Weak
DIVISLAB,2020,Average
DIVISLAB,2021,Average
DIVISLAB,2022,Weak
DIVISLAB,2023,Good
DIVISLAB,2024,Weak
DLF,2013,Poor
DLF,2014,Poor
DLF,2015,Poor
DLF,2016,Poor
DLF,2017,Poor
DLF,2018,Weak
DLF,2019,Weak
DLF,2020,Poor
DLF,2021,Poor
DLF,2022,Weak
DLF,2023,Weak
DLF,2024,Weak
DMART,2013,Average
DMART,2014,Good
DMART,2015,Good
DMART,2016,Good
DMART,2017,Average
DMART,2018,Average
DMART,2019,Average
DMART,2020,Average
DMART,2021,Good
DMART,2022,Average
DMART,2023,Good
DMART,2024,Good
DRREDDY,2013,Average
DRREDDY,2014,Good
DRREDDY,2015,Good
DRREDDY,2016,Excellent
DRREDDY,2017,Excellent
DRREDDY,2018,Average
DRREDDY,2019,Excellent
DRREDDY,2020,Excellent
DRREDDY,2021,Excellent
DRREDDY,2022,Excellent
DRREDDY,2023,Excellent
DRREDDY,2024,Average
EICHERMOT,2012,Good
EICHERMOT,2013,Excellent
EICHERMOT,2014,Excellent
EICHERMOT,2016,Good
EICHERMOT,2017,Good
EICHERMOT,2018,Excellent
EICHERMOT,2019,Weak
EICHERMOT,2020,Average
EICHERMOT,2021,Excellent
EICHERMOT,2022,Average
EICHERMOT,2023,Average
EICHERMOT,2024,Average
GAIL,2013,Average
GAIL,2014,Average
GAIL,2015,Average
GAIL,2016,Weak
GAIL,2017,Average
GAIL,2018,Average
GAIL,2019,Average
GAIL,2020,Average
GAIL,2021,Average
GAIL,2022,Weak
GAIL,2023,Weak
GAIL,2024,Average
GODREJCP,2013,Average
GODREJCP,2014,Excellent
GODREJCP,2015,Good
GODREJCP,2016,Good
GODREJCP,2017,Excellent
GODREJCP,2018,Good
GODREJCP,2019,Weak
GODREJCP,2020,Good
GODREJCP,2021,Good
GODREJCP,2022,Average
GODREJCP,2023,Excellent
GODREJCP,2024,Poor
GRASIM,2013,Weak
GRASIM,2014,Weak
GRASIM,2015,Weak
GRASIM,2016,Weak
GRASIM,2017,Weak
GRASIM,2018,Weak
GRASIM,2019,Weak
GRASIM,2020,Weak
GRASIM,2021,Weak
GRASIM,2022,Weak
GRASIM,2023,Weak
GRASIM,2024,Weak
HAL,2017,Weak
HAL,2018,Weak
HAL,2019,Weak
HAL,2020,Weak
HAL,2021,Excellent
HAL,2022,Excellent
HAL,2023,Excellent
HAL,2024,Good
HAVELLS,2013,Good
HAVELLS,2014,Excellent
HAVELLS,2015,Excellent
HAVELLS,2016,Weak
HAVELLS,2017,Excellent
HAVELLS,2018,Excellent
HAVELLS,2019,Weak
HAVELLS,2020,Good
HAVELLS,2021,Weak
HAVELLS,2022,Excellent
HAVELLS,2023,Weak
HAVELLS,2024,Excellent
HCLTECH,2013,Good
HCLTECH,2014,Average
HCLTECH,2015,Weak
HCLTECH,2016,Weak
HCLTECH,2017,Good
HCLTECH,2018,Average
HCLTECH,2019,Average
HCLTECH,2020,Excellent
HCLTECH,2021,Excellent
HCLTECH,2022,Excellent
HCLTECH,2023,Excellent
HCLTECH,2024,Excellent
HDFCBANK,2013,Weak
HDFCBANK,2014,Weak
HDFCBANK,2015,Weak
HDFCBANK,2016,Weak
HDFCBANK,2017,Weak
HDFCBANK,2018,Weak
HDFCBANK,2019,Weak
HDFCBANK,2020,Weak
HDFCBANK,2021,Weak
HDFCBANK,2022,Weak
HDFCBANK,2023,Weak
HDFCBANK,2024,Weak
HDFCLIFE,2015,Weak
HDFCLIFE,2016,Weak
HDFCLIFE,2017,Weak
HDFCLIFE,2018,Weak
HDFCLIFE,2019,Weak
HDFCLIFE,2020,Weak
HDFCLIFE,2021,Weak
HDFCLIFE,2022,Weak
HDFCLIFE,2023,Weak
HDFCLIFE,2024,Weak
HEROMOTOCO,2014,Excellent
HEROMOTOCO,2015,Average
HEROMOTOCO,2016,Good
HEROMOTOCO,2017,Good
HEROMOTOCO,2018,Good
HEROMOTOCO,2019,Weak
HEROMOTOCO,2020,Excellent
HEROMOTOCO,2021,Excellent
HEROMOTOCO,2022,Average
HEROMOTOCO,2023,Average
HEROMOTOCO,2024,Excellent
HINDALCO,2013,Weak
HINDALCO,2014,Weak
HINDALCO,2015,Poor
HINDALCO,2016,Poor
HINDALCO,2017,Weak
HINDALCO,2018,Average
HINDALCO,2019,Average
HINDALCO,2020,Average
HINDALCO,2021,Weak
HINDALCO,2022,Average
HINDALCO,2023,Average
HINDALCO,2024,Average
HINDUNILVR,2013,Average
HINDUNILVR,2014,Average
HINDUNILVR,2015,Weak
HINDUNILVR,2016,Good
HINDUNILVR,2017,Good
HINDUNILVR,2018,Good
HINDUNILVR,2019,Average
HINDUNILVR,2020,Good
HINDUNILVR,2021,Good
HINDUNILVR,2022,Good
HINDUNILVR,2023,Average
HINDUNILVR,2024,Excellent
ICICIBANK,2013,Weak
ICICIBANK,2014,Weak
ICICIBANK,2015,Weak
ICICIBANK,2016,Weak
ICICIBANK,2017,Weak
ICICIBANK,2018,Weak
ICICIBANK,2019,Weak
ICICIBANK,2020,Weak
ICICIBANK,2021,Weak
ICICIBANK,2022,Weak
ICICIBANK,2023,Weak
ICICIBANK,2024,Weak
ICICIGI,2013,Good
ICICIGI,2014,Good
ICICIGI,2015,Weak
ICICIGI,2016,Good
ICICIGI,2017,Excellent
ICICIGI,2018,Excellent
ICICIGI,2019,Excellent
ICICIGI,2020,Excellent
ICICIGI,2021,Excellent
ICICIGI,2022,Weak
ICICIGI,2023,Excellent
ICICIGI,2024,Excellent
ICICIPRULI,2013,Weak
ICICIPRULI,2014,Weak
ICICIPRULI,2015,Weak
ICICIPRULI,2016,Weak
ICICIPRULI,2017,Weak
ICICIPRULI,2018,Weak
ICICIPRULI,2019,Weak
ICICIPRULI,2020,Weak
ICICIPRULI,2021,Weak
ICICIPRULI,2022,Weak
ICICIPRULI,2023,Weak
ICICIPRULI,2024,Weak
INDIGO,2013,Excellent
INDIGO,2014,Excellent
INDIGO,2015,Excellent
INDIGO,2016,Excellent
INDIGO,2017,Excellent
INDIGO,2018,Excellent
INDIGO,2019,Excellent
INDIGO,2020,Poor
INDIGO,2021,Poor
INDIGO,2022,Poor
INDIGO,2023,Poor
INDIGO,2024,Excellent
INDUSINDBK,2013,Weak
INDUSINDBK,2014,Weak
INDUSINDBK,2015,Weak
INDUSINDBK,2016,Weak
INDUSINDBK,2017,Weak
INDUSINDBK,2018,Weak
INDUSINDBK,2019,Weak
INDUSINDBK,2020,Weak
INDUSINDBK,2021,Weak
INDUSINDBK,2022,Weak
INDUSINDBK,2023,Weak
INDUSINDBK,2024,Weak
INFY,2013,Weak
INFY,2014,Average
INFY,2015,Weak
INFY,2016,Weak
INFY,2017,Average
INFY,2018,Average
INFY,2019,Average
INFY,2020,Good
INFY,2021,Good
INFY,2022,Good
INFY,2023,Average
INFY,2024,Average
IOC,2013,Weak
IOC,2014,Average
IOC,2015,Weak
IOC,2016,Good
IOC,2017,Excellent
IOC,2018,Excellent
IOC,2019,Weak
IOC,2020,Poor
IOC,2021,Excellent
IOC,2022,Good
IOC,2023,Good
IOC,2024,Excellent
IRCTC,2015,Weak
IRCTC,2016,Excellent
IRCTC,2017,Excellent
IRCTC,2018,Weak
IRCTC,2019,Excellent
IRCTC,2020,Weak
IRCTC,2021,Excellent
IRCTC,2022,Weak
IRCTC,2023,Average
IRCTC,2024,Weak
IRFC,2016,Weak
IRFC,2017,Weak
IRFC,2018,Weak
IRFC,2019,Weak
IRFC,2020,Weak
IRFC,2021,Weak
IRFC,2022,Weak
IRFC,2023,Weak
IRFC,2024,Weak
ITC,2013,Average
ITC,2014,Average
ITC,2015,Good
ITC,2016,Good
ITC,2017,Good
ITC,2018,Good
ITC,2019,Average
ITC,2020,Average
ITC,2021,Average
ITC,2022,Good
ITC,2023,Average
ITC,2024,Average
JINDALSTEL,2013,Average
JINDALSTEL,2014,Weak
JINDALSTEL,2015,Poor
JINDALSTEL,2016,Poor
JINDALSTEL,2017,Poor
JINDALSTEL,2018,Poor
JINDALSTEL,2019,Poor
JINDALSTEL,2020,Poor
JINDALSTEL,2021,Average
JINDALSTEL,2022,Average
JINDALSTEL,2023,Average
JINDALSTEL,2024,Average
JIOFIN,2023,Poor
JIOFIN,2024,Poor
JSWENERGY,2013,Weak
JSWENERGY,2014,Weak
JSWENERGY,2015,Weak
JSWENERGY,2016,Weak
JSWENERGY,2017,Weak
JSWENERGY,2018,Poor
JSWENERGY,2019,Weak
JSWENERGY,2020,Weak
JSWENERGY,2021,Weak
JSWENERGY,2022,Weak
JSWENERGY,2023,Weak
JSWENERGY,2024,Weak
JSWSTEEL,2013,Weak
JSWSTEEL,2014,Poor
JSWSTEEL,2015,Average
JSWSTEEL,2016,Poor
JSWSTEEL,2017,Average
JSWSTEEL,2018,Average
JSWSTEEL,2019,Average
JSWSTEEL,2020,Average
JSWSTEEL,2021,Average
JSWSTEEL,2022,Average
JSWSTEEL,2023,Average
JSWSTEEL,2024,Average
KOTAKBANK,2013,Weak
KOTAKBANK,2014,Weak
KOTAKBANK,2015,Weak
KOTAKBANK,2016,Weak
KOTAKBANK,2017,Weak
KOTAKBANK,2018,Weak
KOTAKBANK,2019,Weak
KOTAKBANK,2020,Weak
KOTAKBANK,2021,Weak
KOTAKBANK,2022,Weak
KOTAKBANK,2023,Weak
KOTAKBANK,2024,Weak
LICI,2019,Excellent
LICI,2020,Excellent
LICI,2021,Excellent
LICI,2022,Weak
LICI,2023,Excellent
LICI,2024,Weak
LODHA,2016,Weak
LODHA,2017,Average
LODHA,2018,Average
LODHA,2019,Weak
LODHA,2020,Average
LODHA,2021,Weak
LODHA,2022,Average
LODHA,2023,Average
LODHA,2024,Average
LT,2013,Weak
LT,2014,Weak
LT,2015,Weak
LT,2016,Weak
LT,2017,Good
LT,2018,Weak
LT,2019,Weak
LT,2020,Weak
LT,2021,Good
LT,2022,Good
LT,2023,Good
LT,2024,Good
LTIM,2013,Good
LTIM,2014,Weak
LTIM,2015,Average
LTIM,2016,Good
LTIM,2017,Excellent
LTIM,2018,Weak
LTIM,2019,Average
LTIM,2020,Good
LTIM,2021,Excellent
LTIM,2022,Average
LTIM,2023,Weak
LTIM,2024,Excellent
M&M,2013,Weak
M&M,2014,Weak
M&M,2015,Weak
M&M,2016,Weak
M&M,2017,Weak
M&M,2018,Weak
M&M,2019,Weak
M&M,2020,Poor
M&M,2021,Weak
M&M,2022,Excellent
M&M,2023,Weak
M&M,2024,Weak
MARUTI,2013,Average
MARUTI,2014,Average
MARUTI,2015,Excellent
MARUTI,2016,Excellent
MARUTI,2017,Excellent
MARUTI,2018,Excellent
MARUTI,2019,Average
MARUTI,2020,Weak
MARUTI,2021,Excellent
MARUTI,2022,Weak
MARUTI,2023,Excellent
MARUTI,2024,Excellent
MOTHERSON,2013,Average
MOTHERSON,2014,Average
MOTHERSON,2015,Average
MOTHERSON,2016,Average
MOTHERSON,2017,Average
MOTHERSON,2018,Average
MOTHERSON,2019,Average
MOTHERSON,2020,Average
MOTHERSON,2021,Average
MOTHERSON,2022,Average
MOTHERSON,2023,Average
MOTHERSON,2024,Average
NAUKRI,2013,Poor
NAUKRI,2014,Poor
NAUKRI,2015,Poor
NAUKRI,2016,Poor
NAUKRI,2017,Poor
NAUKRI,2018,Poor
NAUKRI,2019,Poor
NAUKRI,2020,Poor
NAUKRI,2021,Poor
NAUKRI,2022,Poor
NAUKRI,2023,Poor
NAUKRI,2024,Poor
NESTLEIND,2013,Excellent
NESTLEIND,2014,Excellent
NESTLEIND,2015,Excellent
NESTLEIND,2016,Excellent
NESTLEIND,2017,Excellent
NESTLEIND,2018,Excellent
NESTLEIND,2019,Good
NESTLEIND,2020,Good
NESTLEIND,2021,Good
NESTLEIND,2022,Good
NESTLEIND,2023,Good
NESTLEIND,2024,Good
NHPC,2013,Weak
NHPC,2014,Weak
NHPC,2015,Weak
NHPC,2016,Weak
NHPC,2017,Weak
NHPC,2018,Weak
NHPC,2019,Weak
NHPC,2020,Weak
NHPC,2021,Weak
NHPC,2022,Weak
NHPC,2023,Weak
NHPC,2024,Weak
NTPC,2013,Average
NTPC,2014,Average
NTPC,2015,Average
NTPC,2016,Average
NTPC,2017,Average
NTPC,2018,Average
NTPC,2019,Average
NTPC,2020,Average
NTPC,2021,Average
NTPC,2022,Average
NTPC,2023,Average
NTPC,2024,Average
ONGC,2013,Good
ONGC,2014,Good
ONGC,2015,Average
ONGC,2016,Weak
ONGC,2017,Good
ONGC,2018,Good
ONGC,2019,Good
ONGC,2020,Weak
ONGC,2021,Average
ONGC,2022,Good
ONGC,2023,Good
ONGC,2024,Good
PFC,2013,Weak
PFC,2014,Weak
PFC,2015,Weak
PFC,2016,Weak
PFC,2017,Weak
PFC,2018,Weak
PFC,2019,Weak
PFC,2020,Weak
PFC,2021,Weak
PFC,2022,Weak
PFC,2023,Weak
PFC,2024,Weak
PIDILITIND,2013,Good
PIDILITIND,2014,Average
PIDILITIND,2015,Good
PIDILITIND,2016,Good
PIDILITIND,2017,Average
PIDILITIND,2018,Average
PIDILITIND,2019,Average
PIDILITIND,2020,Good
PIDILITIND,2021,Excellent
PIDILITIND,2022,Weak
PIDILITIND,2023,Excellent
PIDILITIND,2024,Excellent
PNB,2013,Poor
PNB,2014,Poor
PNB,2015,Poor
PNB,2016,Poor
PNB,2017,Poor
PNB,2018,Poor
PNB,2019,Poor
PNB,2020,Poor
PNB,2021,Poor
PNB,2022,Poor
PNB,2023,Poor
PNB,2024,Poor
POWERGRID,2013,Average
POWERGRID,2014,Average
POWERGRID,2015,Average
POWERGRID,2016,Average
POWERGRID,2017,Average
POWERGRID,2018,Average
POWERGRID,2019,Average
POWERGRID,2020,Average
POWERGRID,2021,Average
POWERGRID,2022,Average
POWERGRID,2023,Average
POWERGRID,2024,Average
RECLTD,2013,Weak
RECLTD,2014,Weak
RECLTD,2015,Weak
RECLTD,2016,Weak
RECLTD,2017,Average
RECLTD,2018,Weak
RECLTD,2019,Weak
RECLTD,2020,Weak
RECLTD,2021,Weak
RECLTD,2022,Weak
RECLTD,2023,Weak
RECLTD,2024,Weak
RELIANCE,2013,Weak
RELIANCE,2014,Weak
RELIANCE,2015,Weak
RELIANCE,2016,Weak
RELIANCE,2017,Weak
RELIANCE,2018,Weak
RELIANCE,2019,Weak
RELIANCE,2020,Weak
RELIANCE,2021,Weak
RELIANCE,2022,Weak
RELIANCE,2023,Weak
RELIANCE,2024,Weak
SBILIFE,2013,Average
SBILIFE,2014,Weak
SBILIFE,2015,Average
SBILIFE,2016,Average
SBILIFE,2017,Average
SBILIFE,2018,Average
SBILIFE,2019,Average
SBILIFE,2020,Average
SBILIFE,2021,Average
SBILIFE,2022,Average
SBILIFE,2023,Average
SBILIFE,2024,Average
SHREECEM,2013,Average
SHREECEM,2014,Average
SHREECEM,2015,Average
SHREECEM,2016,Average
SHREECEM,2017,Average
SHREECEM,2018,Average
SHREECEM,2019,Average
SHREECEM,2020,Average
SHREECEM,2021,Average
SHREECEM,2022,Average
SHREECEM,2023,Average
SHREECEM,2024,Average
SHRIRAMFIN,2013,Weak
SHRIRAMFIN,2014,Weak
SHRIRAMFIN,2015,Weak
SHRIRAMFIN,2016,Weak
SHRIRAMFIN,2017,Weak
SHRIRAMFIN,2018,Weak
SHRIRAMFIN,2019,Weak
SHRIRAMFIN,2020,Weak
SHRIRAMFIN,2021,Weak
SHRIRAMFIN,2022,Weak
SHRIRAMFIN,2023,Weak
SHRIRAMFIN,2024,Weak
SIEMENS,2011,Weak
SIEMENS,2014,Good
SIEMENS,2015,Weak
SIEMENS,2016,Weak
SIEMENS,2017,Weak
SIEMENS,2018,Weak
SIEMENS,2019,Good
SIEMENS,2020,Average
SIEMENS,2021,Excellent
SIEMENS,2022,Weak
SIEMENS,2023,Weak
SIEMENS,2024,Weak
SUNPHARMA,2013,Average
SUNPHARMA,2014,Good
SUNPHARMA,2015,Good
SUNPHARMA,2016,Good
SUNPHARMA,2017,Average
SUNPHARMA,2018,Good
SUNPHARMA,2019,Weak
SUNPHARMA,2020,Good
SUNPHARMA,2021,Good
SUNPHARMA,2022,Good
SUNPHARMA,2023,Weak
SUNPHARMA,2024,Good
TATACONSUM,2013,Weak
TATACONSUM,2014,Average
TATACONSUM,2015,Weak
TATACONSUM,2016,Poor
TATACONSUM,2017,Weak
TATACONSUM,2018,Weak
TATACONSUM,2019,Weak
TATACONSUM,2020,Weak
TATACONSUM,2021,Average
TATACONSUM,2022,Average
TATACONSUM,2023,Average
TATACONSUM,2024,Average
TATAMOTORS,2013,Excellent
TATAMOTORS,2014,Excellent
TATAMOTORS,2015,Excellent
TATAMOTORS,2016,Excellent
TATAMOTORS,2017,Excellent
TATAMOTORS,2018,Excellent
TATAMOTORS,2019,Poor
TATAMOTORS,2020,Poor
TATAMOTORS,2021,Poor
TATAMOTORS,2022,Poor
TATAMOTORS,2023,Weak
TATAMOTORS,2024,Excellent
TATAPOWER,2013,Poor
TATAPOWER,2014,Poor
TATAPOWER,2015,Poor
TATAPOWER,2016,Weak
TATAPOWER,2017,Weak
TATAPOWER,2018,Average
TATAPOWER,2019,Average
TATAPOWER,2020,Average
TATAPOWER,2021,Average
TATAPOWER,2022,Average
TATAPOWER,2023,Average
TATAPOWER,2024,Average
TATASTEEL,2013,Poor
TATASTEEL,2014,Weak
TATASTEEL,2015,Poor
TATASTEEL,2016,Poor
TATASTEEL,2017,Poor
TATASTEEL,2018,Weak
TATASTEEL,2019,Weak
TATASTEEL,2020,Poor
TATASTEEL,2021,Weak
TATASTEEL,2022,Weak
TATASTEEL,2023,Weak
TATASTEEL,2024,Poor
TCS,2013,Average
TCS,2014,Weak
TCS,2015,Average
TCS,2016,Weak
TCS,2017,Average
TCS,2018,Average
TCS,2019,Average
TCS,2020,Average
TCS,2021,Good
TCS,2022,Good
TCS,2023,Average
TCS,2024,Average
TECHM,2013,Weak
TECHM,2014,Weak
TECHM,2015,Average
TECHM,2016,Average
TECHM,2017,Average
TECHM,2018,Average
TECHM,2019,Average
TECHM,2020,Average
TECHM,2021,Average
TECHM,2022,Average
TECHM,2023,Average
TECHM,2024,Average
TITAN,2013,Weak
TITAN,2014,Weak
TITAN,2015,Weak
TITAN,2016,Average
TITAN,2017,Excellent
TITAN,2018,Weak
TITAN,2019,Average
TITAN,2020,Weak
TITAN,2021,Excellent
TITAN,2022,Weak
TITAN,2023,Weak
TITAN,2024,Weak
TORNTPHARM,2013,Weak
TORNTPHARM,2014,Average
TORNTPHARM,2015,Good
TORNTPHARM,2016,Excellent
TORNTPHARM,2017,Good
TORNTPHARM,2018,Excellent
TORNTPHARM,2019,Excellent
TORNTPHARM,2020,Excellent
TORNTPHARM,2021,Excellent
TORNTPHARM,2022,Excellent
